st_name,year,ac_no,ac_name,ac_type,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors
Madhya Pradesh,1990.0,140,Mahasamund,GEN,Ramesh,M,Independents,IND,212.0,107857
Madhya Pradesh,1985.0,290,Maheshwar,SC,Madanlal Verma,M,Bharatiya Janta Party,BJP,21570.0,86074
Madhya Pradesh,1998.0,319,Neemuch,GEN,Mangilal Dabi Guruji,M,Independent,IND,604.0,169426
Madhya Pradesh,1980.0,158,Maro,SC,Dhan Singh,M,Independents,IND,867.0,75542
Madhya Pradesh,1990.0,15,Gwalior,GEN,Gopal,M,Independents,IND,575.0,144420
Madhya Pradesh,2003.0,85,Sohagpur,GEN,Abudal Habib,M,Independent,IND,536.0,184890
Madhya Pradesh,2008.0,49,Chandla,SC,Raju Ahirwar,M,IJP,IJP,409.0,160319
Madhya Pradesh,2008.0,13,Gohad,SC,Sitaram Jatav,M,IND,IND,406.0,165595
Madhya Pradesh,2013.0,88,Pusprajgarh,ST,None Of The Above,,NOTA,NOTA,5349.0,178733
Madhya Pradesh,1980.0,97,Bagicha,ST,Blasius Ekka,M,Indian National Congress (I),INC(I),16710.0,69886
Madhya Pradesh,2013.0,71,Mauganj,GEN,Arun Kumar Singh Baghel,M,RsAD,RsAD,1084.0,186000
Madhya Pradesh,1985.0,226,Timarni,SC,Khi Prasad Bastwar,M,Indian National Congress,INC,18090.0,76740
Madhya Pradesh,1977.0,42,Deori,GEN,Kundanlal Pathak,M,Independents,IND,2070.0,66588
Madhya Pradesh,1977.0,151,Jagdalpur,GEN,Ramu Pandey,M,Independents,IND,229.0,70591
Madhya Pradesh,1990.0,268,Depalpur,GEN,Babu Lal,M,Independents,IND,212.0,119548
Madhya Pradesh,1985.0,262,Mahidpur,GEN,Anandilal Chhajlany,M,Indian National Congress,INC,18277.0,78674
Madhya Pradesh,1985.0,137,Saraipali,GEN,Pukhraj Singh,F,Independent,IND,27949.0,88507
Madhya Pradesh,1998.0,240,Bhopal North,GEN,Roop,M,Shivsena,SHS,283.0,202410
Madhya Pradesh,2008.0,155,Huzur,GEN,Kishor Hasani Kailoo,M,IND,IND,257.0,171037
Madhya Pradesh,1993.0,68,Mangawan,GEN,Ram Sushil Patel,M,Bahujan Samaj Party,BSP,21358.0,144201
